日期,沪深300指数,股债利差,股债利差均线,5年均线,5年标准差,+1 STD,-1 STD,+2 STD,-2 STD
2014-01-13,2193.68,0.075803,0.061875,0.04832461846153846,0.01976004423467029,0.06808466269620875,0.02856457422686817,0.08784470693087904,0.008804529992197878
2014-01-14,2212.85,0.074919,0.061942,0.048351866803278694,0.019768245491857454,0.06812011229513615,0.02858362131142124,0.08788835778699361,0.008815375819563785
2014-01-15,2208.94,0.075259,0.062011,0.048379407369498466,0.01977685957246609,0.06815626694196456,0.028602547797032377,0.08793312651443064,0.008825688224566287
2014-01-16,2211.84,0.075507,0.06208,0.048407145194274026,0.019785760110592722,0.06819290530486674,0.028621385083681304,0.08797866541545947,0.008835624973088582
2014-01-17,2178.49,0.076899,0.062105,0.048436248212461695,0.019796596162067137,0.06823284437452884,0.028639652050394558,0.08802944053659598,0.008843055888327421
2014-01-20,2165.99,0.077257,0.062222,0.048465657142857145,0.019807889724060227,0.06827354686691738,0.028657767418796918,0.0880814365909776,0.00884987769473669
2014-01-21,2187.41,0.076749,0.062292,0.04849448827726809,0.019818364627055718,0.06831285290432382,0.028676123650212375,0.08813121753137954,0.008857759023156657
2014-01-22,2243.8,0.074692,0.062358,0.048521165987780036,0.019825894467314618,0.06834706045509466,0.02869527152046542,0.08817295492240927,0.008869377053150801
2014-01-23,2231.89,0.075219,0.062428,0.048548325534079353,0.019834084841987887,0.06838241037606724,0.028714240692091466,0.08821649521805514,0.008880155850103578
2014-01-24,2245.68,0.074982,0.062448,0.048575189024390245,0.01984189577771627,0.06841708480210651,0.028733293246673973,0.08825898057982279,0.008891397468957701
2014-01-27,2215.92,0.076603,0.062559,0.04860364365482234,0.019851907882854784,0.06845555153767713,0.028751735771967553,0.0883074594205319,0.008899827889112769
2014-01-28,2219.86,0.076159,0.062626,0.04863159026369168,0.01986122417205586,0.06849281443574753,0.028770366091635823,0.0883540386078034,0.008909141919579963
2014-01-29,2227.78,0.075973,0.062693,0.048659291793313075,0.01987021779674353,0.0685295095900566,0.028789073996569544,0.08839972738680013,0.008918856199826013
2014-01-30,2202.45,0.076451,0.062762,0.04868742105263158,0.019879821165322116,0.0685672422179537,0.028807599887309465,0.08844706338327582,0.00892777872198735
2014-02-07,2212.48,0.076303,0.063006,0.04871534378159758,0.019889152433255498,0.06860449621485308,0.028826191348342082,0.08849364864810857,0.008937038915086584
2014-02-10,2267.53,0.074674,0.0631,0.04874156464646465,0.019896207296517802,0.06863777194298246,0.028845357349946844,0.08853397923950025,0.008949150053429042
2014-02-11,2285.56,0.073483,0.063155,0.04876653077699294,0.01990168096039387,0.06866821173738681,0.028864849816599068,0.08856989269778068,0.008963168856205198
2014-02-12,2291.25,0.073343,0.06321,0.04879130544354839,0.019906936100480853,0.06869824154402925,0.02888436934306754,0.08860517764451009,0.008977433242586687
2014-02-13,2279.55,0.073724,0.063265,0.04881641389728097,0.019912625250220865,0.06872903914750184,0.028903788647060103,0.0886416643977227,0.008991163396839238
